Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Circle K,OPERATIONAL,"8700 South Harlem Avenue, Bridgeview",1,3,30,['convenience_store'],41.73292259999999,-87.7998879
Jewel-Osco,OPERATIONAL,"8801 South Ridgeland Avenue, Oak Lawn",2,4.2,1674,"['grocery_or_supermarket', 'supermarket']",41.7316906,-87.7788652
The Vitamin Shoppe,OPERATIONAL,"6310 West 95th Street, Oak Lawn",1,4.3,97,['grocery_or_supermarket'],41.71981950000001,-87.7788686
Beverly Hills Food Mart Inc,OPERATIONAL,"2156 West 95th Street, Chicago",Price information not available,4.2,17,"['convenience_store', 'grocery_or_supermarket']",41.7212889,-87.6770114
Meijer Express Gas Station,OPERATIONAL,"9202 South Western Avenue, Evergreen Park",2,2.7,54,['convenience_store'],41.7248633,-87.6827484
Dollar General,OPERATIONAL,"9244 South Ashland Avenue, Chicago",1,4,452,"['drugstore', 'convenience_store', 'grocery_or_supermarket']",41.7251679,-87.6630785
Shell,OPERATIONAL,"601 S Frontage Road #16W, Burr Ridge",2,3.6,23,['convenience_store'],41.734169,-87.94358
Tigermart,OPERATIONAL,"8369 Archer Avenue, Willow Springs",Price information not available,3,2,['convenience_store'],41.73769509999999,-87.86635780000002
Shell,OPERATIONAL,"8700 South Harlem Avenue, Bridgeview",2,3.5,44,['convenience_store'],41.73297369999999,-87.7995218
Tony's Fresh Market,OPERATIONAL,"8630 South Harlem Avenue, Bridgeview",Price information not available,4.1,1632,['grocery_or_supermarket'],41.7348419,-87.8001555
Jewel-Osco Pharmacy,OPERATIONAL,"8801 South Ridgeland Avenue, Oak Lawn",2,4.2,17,['drugstore'],41.7315344,-87.77892469999999
Joe & Frank's,OPERATIONAL,"8720 Ridgeland Avenue, Oak Lawn",1,4.7,643,"['supermarket', 'grocery_or_supermarket']",41.7331222,-87.7807
Shell,OPERATIONAL,"5601 West 87th Street, Oak Lawn",2,3.7,42,['convenience_store'],41.7339831,-87.7612824
7-Eleven,OPERATIONAL,"5560 West 87th Street, Burbank",1,3.2,45,['convenience_store'],41.73464870000001,-87.75984249999999
ALDI,OPERATIONAL,"8333 South Cicero Avenue, Chicago",1,4.4,1191,"['supermarket', 'grocery_or_supermarket']",41.74059010000001,-87.7404682
Dollar General,OPERATIONAL,"8636 South Cicero Avenue, Burbank",1,4.1,395,"['drugstore', 'grocery_or_supermarket', 'convenience_store']",41.73580339999999,-87.74135150000001
Walgreens,OPERATIONAL,"8701 South Cicero Avenue, Hometown",2,2.9,71,"['drugstore', 'convenience_store']",41.733969,-87.7404857
bp,OPERATIONAL,"4721 West 87th Street, Hometown",Price information not available,3.8,40,"['supermarket', 'grocery_or_supermarket']",41.73455999999999,-87.73996
Fairplay Foods,OPERATIONAL,"8700 South Cicero Avenue, Oak Lawn",Price information not available,4.3,1142,"['grocery_or_supermarket', 'supermarket']",41.7340497,-87.74352619999999
South Side Gas,OPERATIONAL,"4000 Southwest Highway, Hometown",Price information not available,No rating,No ratings,['convenience_store'],41.73442799999999,-87.7234596
ALDI,OPERATIONAL,"3231 West 87th Street, Evergreen Park",1,4.5,603,"['supermarket', 'grocery_or_supermarket']",41.73404539999999,-87.7039779
Walgreens,OPERATIONAL,"8700 South Kedzie Avenue, Evergreen Park",2,2.9,80,"['drugstore', 'convenience_store']",41.7346436,-87.7029347
Circle K,OPERATIONAL,"2635 West 87th Street, Evergreen Park",1,3.1,7,['convenience_store'],41.73503890000001,-87.6885844
Edible Arrangements,OPERATIONAL,"8732 South Kedzie Avenue, Evergreen Park",Price information not available,3.3,192,['grocery_or_supermarket'],41.7341945,-87.702834
Shell,OPERATIONAL,"2635 West 87th Street, Evergreen Park",2,4,215,['convenience_store'],41.735207,-87.6884723
Pete's Produce,OPERATIONAL,"1411 West 87th Street, Chicago",Price information not available,4.2,2246,"['supermarket', 'grocery_or_supermarket']",41.735636,-87.6587282
bp,OPERATIONAL,"8510 South Ashland Avenue, Chicago",Price information not available,3.5,15,['convenience_store'],41.739133,-87.6634704
ALDI,OPERATIONAL,"8500 South Holland Road, Chicago",1,4.3,717,"['supermarket', 'grocery_or_supermarket']",41.7393563,-87.6324417
