Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Lake Point Tower Condominium,OPERATIONAL,"505 North Lake Shore Drive, Chicago",Price information not available,4.5,302,"['point_of_interest', 'establishment']",41.8916068,-87.61232609999999
Garrett Popcorn Shops,OPERATIONAL,"600 East Grand Avenue, Chicago",2,4.2,238,"['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8917701,-87.6085312
Shoreline Water Taxi,OPERATIONAL,"600 East Grand Avenue, Chicago",Price information not available,4.8,31,"['travel_agency', 'point_of_interest', 'establishment']",41.89136990000001,-87.60773710000001
Milton Lee Olive Park,OPERATIONAL,"East Ohio Street, Chicago",Price information not available,4.8,497,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",41.8939502,-87.610924
Navy Pier-Accounting,OPERATIONAL,"600 East Grand Avenue, Chicago",Price information not available,4.7,9,"['accounting', 'finance', 'point_of_interest', 'establishment']",41.8917451,-87.6096532
"Harry Caray's Tavern, Navy Pier",OPERATIONAL,"700 East Grand Avenue, Chicago",2,3.7,1419,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.891486,-87.609304
Dr. Marga F. Massey,OPERATIONAL,"505 North Lake Shore Drive, Chicago",Price information not available,No rating,No ratings,"['doctor', 'point_of_interest', 'health', 'general_contractor', 'establishment']",41.8915,-87.61233089999999
Completely Nuts Inc,OPERATIONAL,"600 East Grand Avenue, Chicago",Price information not available,4,34,"['store', 'food', 'point_of_interest', 'establishment']",41.8915846,-87.6084499
"Dr. Anthony D. Papadatos, MD",OPERATIONAL,"505 North Jean Baptiste Pointe du Sable Lake Shore Drive, Chicago",Price information not available,5,1,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8914899,-87.6119488
"Skincare Systems, Inc.",OPERATIONAL,"505 North Jean Baptiste Pointe du Sable Lake Shore Drive Suite 101, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'health', 'establishment']",41.89149,-87.6119487
Ben & Jerry’s,OPERATIONAL,"600 East Grand Avenue, Chicago",2,3.9,152,"['meal_takeaway', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8917276,-87.6085693
Frosolone Interiors,OPERATIONAL,"505 North Lake Shore Drive # 202, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'general_contractor', 'establishment']",41.8915099,-87.6123191
Brooke Chase Associates Inc,OPERATIONAL,"505 North Lake Shore Drive, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'establishment']",41.8915099,-87.6123191
Katz Jana MD,OPERATIONAL,"505 North Lake Shore Drive #214, Chicago",Price information not available,No rating,No ratings,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8915099,-87.6123191
Kang Gemma Y MD,CLOSED_TEMPORARILY,"505 North Lake Shore Drive #214, Chicago",Price information not available,No rating,No ratings,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8915099,-87.6123191
Sullivan Jr Scott K MD,OPERATIONAL,"505 North Lake Shore Drive # D-21, Chicago",Price information not available,No rating,No ratings,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8915099,-87.6123191
Wave Swinger,OPERATIONAL,"600 East Grand Avenue, Chicago",Price information not available,4.8,20,"['point_of_interest', 'establishment']",41.89171040000001,-87.6078374
Caricatures and Event Art by Faces In Focus,OPERATIONAL,"Family Pavilion Rotunda, 600 East Grand Avenue, Chicago",Price information not available,2.3,6,"['point_of_interest', 'establishment']",41.89170699999999,-87.608481
Kisbi Coffee,OPERATIONAL,"900 East Grand Avenue, Chicago",Price information not available,2.4,7,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",41.891627,-87.6016321
