Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Aldridge Elementary School,OPERATIONAL,"630 East 131st Street, Chicago",Price information not available,3.4,5,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6577792,-87.6068657
CICS Lloyd Bond,OPERATIONAL,"13300 South Langley Avenue, Chicago",Price information not available,3.4,12,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6532109,-87.60553949999999
George Washington Carver Elementary,OPERATIONAL,"901 East 133rd Place, Chicago",Price information not available,3,9,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6531725,-87.60102619999999
Aldridge Elementary School,OPERATIONAL,"630 East 131st Street, Chicago",Price information not available,3.4,5,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6577792,-87.6068657
Wheatley Child Parent Center,OPERATIONAL,"902 East 133rd Place, Riverdale",Price information not available,No rating,No ratings,"['school', 'point_of_interest', 'establishment']",41.65399180000001,-87.6014551
Carver Primary School,OPERATIONAL,United States,Price information not available,3,2,"['school', 'point_of_interest', 'establishment']",41.6551804,-87.6013517
Dubois Elementary School,OPERATIONAL,"330 East 133rd Street, Chicago",Price information not available,3.6,10,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.653971,-87.61423270000002
Carver Military Academy High School,OPERATIONAL,"13100 South Doty Avenue, Chicago",Price information not available,4.3,44,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.6566007,-87.58946619999999
George Washington Carver Elementary,OPERATIONAL,"901 East 133rd Place, Chicago",Price information not available,3,9,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6531725,-87.60102619999999
Wheatley Child Parent Center,OPERATIONAL,"902 East 133rd Place, Riverdale",Price information not available,No rating,No ratings,"['school', 'point_of_interest', 'establishment']",41.65399180000001,-87.6014551
Carver Primary School,OPERATIONAL,United States,Price information not available,3,2,"['school', 'point_of_interest', 'establishment']",41.6551804,-87.6013517
Carver Military Academy High School,OPERATIONAL,"13100 South Doty Avenue, Chicago",Price information not available,4.3,44,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.6566007,-87.58946619999999
Henry Clay Elementary School,OPERATIONAL,"13231 South Burley Avenue, Chicago",Price information not available,5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6546441,-87.5440112
Henry Clay Elementary School,OPERATIONAL,"13231 South Burley Avenue, Chicago",Price information not available,5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6546441,-87.5440112
Palos West Elementary School,OPERATIONAL,"12700 South 104th Avenue, Palos Park",Price information not available,3,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6584686,-87.8751748
Palos West Elementary School,OPERATIONAL,"12700 South 104th Avenue, Palos Park",Price information not available,3,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6584686,-87.8751748
Farm & Nature Discovery School,OPERATIONAL,"12700 Southwest Highway, Palos Park",Price information not available,4.8,24,"['school', 'point_of_interest', 'establishment']",41.6586419,-87.8392251
Farm & Nature Discovery School,OPERATIONAL,"12700 Southwest Highway, Palos Park",Price information not available,4.8,24,"['school', 'point_of_interest', 'establishment']",41.6586419,-87.8392251
Palos East Elementary School,OPERATIONAL,"7700 West 127th Street, Palos Heights",Price information not available,4.8,5,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6614236,-87.8081502
