Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Torrance Food Mart,OPERATIONAL,"10600 South Torrence Avenue, Chicago",Price information not available,4,51,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.70264899999999,-87.5597805
Torrance Food Mart,OPERATIONAL,"10600 South Torrence Avenue, Chicago",Price information not available,4,51,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70264899999999,-87.5597805
La Cienega Super Food Inc,OPERATIONAL,"10736 South Ewing Avenue, Chicago",Price information not available,4.2,745,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6998016,-87.535467
ALDI,OPERATIONAL,"10532 South Indianapolis Avenue, Chicago",1,4.4,899,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.7034698,-87.5257601
La Cienega Super Food Inc,OPERATIONAL,"10736 South Ewing Avenue, Chicago",Price information not available,4.2,745,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6998016,-87.535467
Shu Fee Ma Fee,OPERATIONAL,"10240 South Roberts Road, Palos Hills",Price information not available,4.6,72,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70475319999999,-87.8177022
Pete's Fresh Market #11 - Bridgeview,OPERATIONAL,"10280 South Harlem Avenue, Bridgeview",Price information not available,4.5,4906,"['supermarket', 'grocery_or_supermarket', 'bar', 'cafe', 'point_of_interest', 'food', 'store', 'establishment']",41.70528909999999,-87.8000798
Shu Fee Ma Fee,OPERATIONAL,"10240 South Roberts Road, Palos Hills",Price information not available,4.6,72,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.70475319999999,-87.8177022
Pete's Fresh Market #11 - Bridgeview,OPERATIONAL,"10280 South Harlem Avenue, Bridgeview",Price information not available,4.5,4906,"['supermarket', 'cafe', 'grocery_or_supermarket', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",41.70528909999999,-87.8000798
Amoco,OPERATIONAL,"10559 South Harlem Avenue, Chicago Ridge",Price information not available,2,1,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69900870000001,-87.7974017
ALDI,OPERATIONAL,"9640 Ridgeland Avenue, Chicago Ridge",1,4.3,524,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.71624,-87.782403
Thamar Supermarketاحسن تعامل,OPERATIONAL,"9920 Southwest Highway, Oak Lawn",Price information not available,4.9,44,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.7117025,-87.77788369999999
Thamar Supermarketاحسن تعامل,OPERATIONAL,"9920 Southwest Highway, Oak Lawn",Price information not available,4.9,44,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.7117025,-87.77788369999999
Jewel-Osco,OPERATIONAL,"4650 West 103rd Street, Oak Lawn",2,4.1,1209,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.70662979999999,-87.7373411
Jewel-Osco,OPERATIONAL,"4650 West 103rd Street, Oak Lawn",2,4.1,1209,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.70662979999999,-87.7373411
Jewel-Osco,OPERATIONAL,"3128 West 103rd Street, Chicago",2,4.1,821,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.706863,-87.6998763
bp,OPERATIONAL,"9802 South Kedzie Avenue, Evergreen Park",Price information not available,4.9,11,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.7150309,-87.7020149
Jewel-Osco,OPERATIONAL,"3128 West 103rd Street, Chicago",2,4.1,821,"['grocery_or_supermarket', 'florist', 'supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",41.706863,-87.6998763
bp,OPERATIONAL,"10300 South Western Avenue, Chicago",Price information not available,3.4,8,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.70608499999999,-87.6820142
bp,OPERATIONAL,"10300 South Western Avenue, Chicago",Price information not available,3.4,8,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70608499999999,-87.6820142
bp,OPERATIONAL,"9900 South Halsted Street, Chicago",Price information not available,3.8,23,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.7138826,-87.6433352
